Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-11-21,12:30 (06:30),Premier League,Matchweek 9,Sat,Away,W,2,0,Newcastle Utd,1.6,0.6,71,,N'Golo Kanté,4-3-3,Craig Pawson,Match Report,
2020-11-24,18:55 (11:55),Champions Lg,Group stage,Tue,Away,W,2,1,fr Rennes,1.9,1.1,49,,César Azpilicueta,4-3-3,Björn Kuipers,Match Report,
2020-11-29,16:30 (10:30),Premier League,Matchweek 10,Sun,Home,D,0,0,Tottenham,1.0,0.2,60,,Thiago Silva,4-3-3,Paul Tierney,Match Report,
2020-12-02,21:00 (14:00),Champions Lg,Group stage,Wed,Away,W,4,0,es Sevilla,2.2,1.2,45,,César Azpilicueta,4-3-3,Artur Soares Dias,Match Report,
2020-12-05,20:00 (14:00),Premier League,Matchweek 11,Sat,Home,W,3,1,Leeds United,3.7,1.3,46,2000,Thiago Silva,4-3-3,Kevin Friend,Match Report,
2020-12-08,20:00 (14:00),Champions Lg,Group stage,Tue,Home,D,1,1,ru Krasnodar,1.9,0.7,63,2000,César Azpilicueta,4-3-3,Pavel Královec,Match Report,
2020-12-12,20:00 (14:00),Premier League,Matchweek 12,Sat,Away,L,0,1,Everton,0.9,1.3,71,2000,Thiago Silva,4-3-3,Jonathan Moss,Match Report,
2020-12-15,18:00 (12:00),Premier League,Matchweek 13,Tue,Away,L,1,2,Wolves,1.3,0.5,54,,Thiago Silva,4-3-3,Stuart Attwell,Match Report,
2020-12-21,20:00 (14:00),Premier League,Matchweek 14,Mon,Home,W,3,0,West Ham,2.1,0.5,53,,César Azpilicueta,4-3-3,Chris Kavanagh,Match Report,
2020-12-26,17:30 (11:30),Premier League,Matchweek 15,Sat,Away,L,1,3,Arsenal,2.3,2.1,59,,Thiago Silva,4-3-3,Michael Oliver,Match Report,
2020-12-28,17:30 (11:30),Premier League,Matchweek 16,Mon,Home,D,1,1,Aston Villa,1.4,0.8,63,,César Azpilicueta,4-3-3,Stuart Attwell,Match Report,
2021-01-03,16:30 (10:30),Premier League,Matchweek 17,Sun,Home,L,1,3,Manchester City,0.8,2.4,54,,César Azpilicueta,4-3-3,Anthony Taylor,Match Report,
2021-01-10,13:30 (07:30),FA Cup,Third round,Sun,Home,W,4,0,Morecambe,,,85,,César Azpilicueta,4-3-3,Darren England,Match Report,
2021-01-16,17:30 (11:30),Premier League,Matchweek 19,Sat,Away,W,1,0,Fulham,1.5,0.8,68,,César Azpilicueta,4-3-3,Peter Bankes,Match Report,
2021-01-19,20:15 (14:15),Premier League,Matchweek 18,Tue,Away,L,0,2,Leicester City,0.8,1.2,63,,Thiago Silva,4-3-3,Craig Pawson,Match Report,
2021-01-24,12:00 (06:00),FA Cup,Fourth round,Sun,Home,W,3,1,Luton Town,,,68,,Mason Mount,4-2-3-1,David Coote,Match Report,
2021-01-27,18:00 (12:00),Premier League,Matchweek 20,Wed,Home,D,0,0,Wolves,0.8,0.4,78,,César Azpilicueta,4-2-3-1,Andy Madley,Match Report,
2021-01-31,12:00 (06:00),Premier League,Matchweek 21,Sun,Home,W,2,0,Burnley,1.3,0.2,71,,César Azpilicueta,3-4-3,Graham Scott,Match Report,
2021-02-04,20:00 (14:00),Premier League,Matchweek 22,Thu,Away,W,1,0,Tottenham,2.2,0.3,58,,César Azpilicueta,3-4-3,Andre Marriner,Match Report,
2021-02-07,19:15 (13:15),Premier League,Matchweek 23,Sun,Away,W,2,1,Sheffield Utd,1.4,0.4,68,,César Azpilicueta,3-4-1-2,Kevin Friend,Match Report,
2021-02-11,20:00 (14:00),FA Cup,Fifth round,Thu,Away,W,1,0,Barnsley,,,72,,N'Golo Kanté,3-4-3,Martin Atkinson,Match Report,
2021-02-15,20:00 (14:00),Premier League,Matchweek 24,Mon,Home,W,2,0,Newcastle Utd,2.0,0.7,65,,César Azpilicueta,3-4-3,Peter Bankes,Match Report,
2021-02-20,12:30 (06:30),Premier League,Matchweek 25,Sat,Away,D,1,1,Southampton,1.2,0.5,70,,César Azpilicueta,3-4-3,Anthony Taylor,Match Report,
2021-02-23,21:00 (14:00),Champions Lg,Round of 16,Tue,Away,W,1,0,es Atlético Madrid,0.6,0.5,62,,César Azpilicueta,3-4-3,Felix Brych,Match Report,Leg 1 of 2
2021-02-28,16:30 (10:30),Premier League,Matchweek 26,Sun,Home,D,0,0,Manchester Utd,1.1,0.5,57,,César Azpilicueta,3-4-3,Stuart Attwell,Match Report,
2021-03-04,20:15 (14:15),Premier League,Matchweek 29,Thu,Away,W,1,0,Liverpool,1.0,0.3,45,,César Azpilicueta,3-4-3,Martin Atkinson,Match Report,
2021-03-08,18:00 (12:00),Premier League,Matchweek 27,Mon,Home,W,2,0,Everton,2.9,0.3,65,,César Azpilicueta,3-4-3,David Coote,Match Report,
2021-03-13,12:30 (06:30),Premier League,Matchweek 28,Sat,Away,D,0,0,Leeds United,1.4,0.4,62,,César Azpilicueta,4-2-3-1,Kevin Friend,Match Report,
2021-03-17,20:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,2,0,es Atlético Madrid,1.7,0.6,55,,César Azpilicueta,3-4-3,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won
2021-03-21,13:30 (08:30),FA Cup,Quarter-finals,Sun,Home,W,2,0,Sheffield Utd,,,63,,Mason Mount,3-4-3,Andy Madley,Match Report,
