,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-213,1990,16.7,756,956,79.1,12718,5952,386,437,88.3,287,356,80.6,69,128,53.9,1,0.8,+0.2,11,55,24,4,92,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-179,1997,11.3,147,215,68.4,2046,327,90,116,77.6,39,63,61.9,9,15,60.0,1,0.9,+0.1,8,12,2,0,11,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-260,1996,24.1,355,513,69.2,5802,1285,180,242,74.4,114,151,75.5,41,56,73.2,4,4.6,-0.6,26,22,18,1,48,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-187,1997,26.0,1212,1403,86.4,28717,9522,229,256,89.5,692,740,93.5,282,386,73.1,0,0.3,-0.3,4,60,3,0,56,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-086,1987,3.0,76,99,76.8,2016,1127,18,18,100.0,35,36,97.2,21,43,48.8,0,0.0,0.0,0,0,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-301,1988,3.5,72,84,85.7,878,113,43,47,91.5,17,20,85.0,3,3,100.0,0,0.6,-0.6,3,5,1,0,4,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-173,1996,25.0,1170,1500,78.0,22331,9290,477,526,90.7,525,613,85.6,152,312,48.7,1,1.3,-0.3,14,90,14,9,91,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-297,2001,7.8,302,362,83.4,4750,1395,160,174,92.0,123,144,85.4,15,27,55.6,1,0.7,+0.3,6,13,6,3,18,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-141,1993,23.3,572,786,72.8,12430,5292,166,195,85.1,299,369,81.0,106,212,50.0,0,0.1,-0.1,2,50,3,0,49,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-040,1995,5.2,429,461,93.1,7834,2160,178,186,95.7,213,225,94.7,36,44,81.8,0,0.0,0.0,1,36,0,0,23,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-132,1989,13.9,423,615,68.8,7545,2985,210,255,82.4,143,179,79.9,53,124,42.7,4,3.3,+0.7,24,37,27,11,59,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-353,1991,12.5,931,1055,88.2,19507,4810,323,358,90.2,425,459,92.6,170,212,80.2,0,1.1,-1.1,17,115,11,1,107,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-028,1989,17.9,776,940,82.6,18277,4922,183,198,92.4,400,432,92.6,187,293,63.8,0,0.2,-0.2,3,52,4,1,36,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-040,1995,0.2,7,11,63.6,126,51,2,2,100.0,5,5,100.0,0,4,0.0,0,0.0,0.0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-174,1998,24.7,1701,2253,75.5,36403,14574,595,675,88.1,773,927,83.4,319,585,54.5,3,4.2,-1.2,42,168,77,18,227,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-046,1992,19.0,970,1194,81.2,15868,5376,499,555,89.9,399,459,86.9,62,131,47.3,0,1.9,-1.9,20,69,23,10,75,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-179,1992,24.0,693,810,85.6,18255,9534,107,107,100.0,373,379,98.4,210,320,65.6,0,0.0,0.0,0,5,0,0,1,Matches
18,Allan\Allan,br BRA,MF,Everton,30-081,1991,14.8,597,693,86.1,11451,2576,244,267,91.4,245,281,87.2,95,121,78.5,0,0.3,-0.3,7,52,8,0,42,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-353,1996,2.6,111,138,80.4,1916,417,50,58,86.2,47,53,88.7,12,15,80.0,0,0.2,-0.2,4,8,3,0,11,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-048,1994,18.4,509,634,80.3,8728,1869,251,284,88.4,191,226,84.5,50,82,61.0,1,2.2,-1.2,23,37,22,7,44,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-092,1990,7.8,386,468,82.5,6500,2380,194,217,89.4,161,183,88.0,28,51,54.9,0,1.1,-1.1,10,13,6,2,38,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-203,1998,8.2,308,351,87.7,5508,1075,144,162,88.9,122,131,93.1,39,47,83.0,0,0.4,-0.4,8,23,6,0,27,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-099,1994,6.5,324,387,83.7,6134,1823,109,118,92.4,173,200,86.5,36,52,69.2,0,0.0,0.0,0,17,1,0,21,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-197,2000,20.8,739,926,79.8,15058,4668,260,304,85.5,345,401,86.0,122,192,63.5,0,0.9,-0.9,10,63,15,2,74,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-303,1996,23.7,1157,1389,83.3,28619,8549,231,260,88.8,624,683,91.4,293,422,69.4,1,0.5,+0.5,8,97,9,1,83,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-144,2002,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-349,1993,0.0,4,6,66.7,61,28,2,2,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,2,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-002,1990,16.8,225,350,64.3,3543,625,128,182,70.3,63,98,64.3,22,36,61.1,5,2.0,+3.0,18,14,9,2,18,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-031,1993,29.0,560,778,72.0,15708,9750,163,163,100.0,186,187,99.5,200,417,48.0,0,0.0,0.0,0,4,0,0,0,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-000,1992,22.0,688,876,78.5,11101,3244,372,438,84.9,246,289,85.1,57,85,67.1,4,2.0,+2.0,26,64,26,5,76,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-178,1994,4.0,106,138,76.8,3073,1637,24,25,96.0,43,43,100.0,39,70,55.7,0,0.0,0.0,0,1,0,0,0,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-285,1989,21.5,431,576,74.8,6573,1281,242,299,80.9,149,196,76.0,25,46,54.3,1,1.6,-0.6,16,14,25,9,44,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-096,1992,12.8,511,656,77.9,8108,3387,273,304,89.8,193,258,74.8,34,66,51.5,1,1.5,-0.5,9,14,17,6,41,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-268,1989,1.5,25,34,73.5,374,134,12,14,85.7,12,16,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,4,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-200,1991,18.5,395,492,80.3,5536,1004,247,283,87.3,112,142,78.9,17,30,56.7,3,0.6,+2.4,10,11,12,2,31,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-217,1991,28.8,1677,2116,79.3,34163,13514,602,683,88.1,800,919,87.1,263,453,58.1,0,2.2,-2.2,22,145,28,10,168,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-214,1989,17.6,1293,1492,86.7,23213,8317,513,556,92.3,668,730,91.5,98,163,60.1,1,1.7,-0.7,17,99,14,3,84,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-352,1994,7.1,343,382,89.8,7151,2276,97,105,92.4,196,211,92.9,49,64,76.6,0,0.0,0.0,0,24,0,0,23,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-219,1991,12.0,319,420,76.0,7819,3040,62,71,87.3,173,198,87.4,80,142,56.3,0,0.0,0.0,0,29,0,0,27,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-021,1993,23.5,661,858,77.0,10080,3356,385,422,91.2,224,288,77.8,35,90,38.9,2,1.3,+0.7,12,30,23,6,45,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-257,1989,6.2,167,247,67.6,3500,1021,78,94,83.0,47,65,72.3,36,70,51.4,2,0.9,+1.1,10,17,4,1,19,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-206,1993,27.0,308,403,76.4,4088,600,178,230,77.4,87,106,82.1,16,19,84.2,6,3.3,+2.7,20,15,11,2,22,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-275,1985,3.0,116,165,70.3,2256,949,47,49,95.9,51,67,76.1,16,40,40.0,0,0.0,0.0,0,9,6,1,11,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-115,1993,0.5,22,26,84.6,441,72,10,13,76.9,8,9,88.9,4,4,100.0,0,0.1,-0.1,1,2,1,0,2,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-115,1993,13.0,445,547,81.4,8176,2009,219,251,87.3,151,174,86.8,68,98,69.4,1,3.1,-2.1,31,36,20,0,55,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-151,1989,14.4,186,290,64.1,2432,542,123,162,75.9,43,70,61.4,7,28,25.0,0,0.7,-0.7,13,13,7,1,19,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-111,1997,21.6,468,626,74.8,7239,1875,265,331,80.1,157,198,79.3,33,51,64.7,4,1.5,+2.5,25,37,19,2,62,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-312,1991,19.8,483,618,78.2,10066,3305,150,175,85.7,248,293,84.6,79,139,56.8,1,0.1,+0.9,2,39,3,1,24,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-253,1988,23.6,733,911,80.5,13022,3814,334,375,89.1,309,369,83.7,79,133,59.4,1,0.7,+0.3,8,45,12,5,53,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-179,1993,7.8,111,157,70.7,1565,319,61,77,79.2,37,51,72.5,6,8,75.0,1,1.4,-0.4,7,6,3,1,9,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-352,1996,27.9,1458,1727,84.4,28009,9446,541,585,92.5,743,819,90.7,159,291,54.6,1,0.3,+0.7,4,75,4,0,71,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-346,1997,3.6,146,173,84.4,2089,393,87,99,87.9,53,57,93.0,3,5,60.0,0,0.1,-0.1,2,7,1,1,5,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-011,1995,21.2,971,1175,82.6,16268,4721,456,524,87.0,441,516,85.5,57,89,64.0,2,2.3,-0.3,21,51,28,9,77,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-232,1995,11.8,301,385,78.2,4700,1339,171,192,89.1,97,120,80.8,22,51,43.1,4,2.8,+1.2,18,32,14,4,37,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-115,1999,2.9,62,85,72.9,865,322,38,42,90.5,17,24,70.8,4,12,33.3,0,0.0,0.0,0,4,0,0,7,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-117,1990,12.9,228,353,64.6,3068,682,137,208,65.9,61,99,61.6,12,19,63.2,1,0.9,+0.1,11,17,11,1,25,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-154,1990,9.8,225,299,75.3,3649,850,127,146,87.0,67,90,74.4,23,48,47.9,0,0.3,-0.3,5,12,5,2,23,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-044,1998,11.3,349,426,81.9,6398,1336,149,179,83.2,151,171,88.3,43,60,71.7,1,1.2,-0.2,12,32,4,2,29,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-173,1997,11.6,298,367,81.2,4111,770,182,202,90.1,90,110,81.8,8,29,27.6,2,1.1,+0.9,11,18,7,0,15,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-203,1992,4.4,190,239,79.5,3113,808,94,108,87.0,76,94,80.9,15,21,71.4,0,0.6,-0.6,8,17,9,2,20,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-320,1995,2.3,62,87,71.3,1042,288,32,38,84.2,24,34,70.6,5,6,83.3,0,0.2,-0.2,2,3,2,1,6,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-237,1989,26.9,1098,1433,76.6,18242,6940,550,629,87.4,444,551,80.6,79,184,42.9,1,0.8,+0.2,10,59,24,5,89,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-212,1996,25.6,1110,1279,86.8,22603,4052,381,436,87.4,517,568,91.0,192,242,79.3,0,0.4,-0.4,8,97,15,2,89,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-246,2000,9.0,235,299,78.6,3851,1562,131,151,86.8,73,90,81.1,23,39,59.0,0,0.2,-0.2,4,14,7,1,22,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-055,1991,17.0,658,797,82.6,13074,4478,214,242,88.4,341,379,90.0,96,159,60.4,1,0.4,+0.6,2,44,1,0,35,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-100,1996,22.4,406,599,67.8,8197,1826,169,222,76.1,156,199,78.4,74,145,51.0,3,2.5,+0.5,21,19,18,7,33,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-075,1992,11.7,266,393,67.7,4702,1627,133,161,82.6,88,129,68.2,34,78,43.6,1,0.9,+0.1,7,23,6,4,32,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-363,2000,9.6,121,166,72.9,1986,496,69,85,81.2,35,45,77.8,14,25,56.0,0,1.3,-1.3,5,11,2,0,13,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-101,1995,22.8,710,895,79.3,11320,2467,367,421,87.2,249,307,81.1,62,110,56.4,0,0.8,-0.8,12,52,11,2,43,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-194,1993,5.2,197,290,67.9,3591,1710,97,116,83.6,73,92,79.3,26,68,38.2,0,0.2,-0.2,3,13,3,2,19,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-149,1996,8.3,220,313,70.3,4463,2282,86,93,92.5,92,115,80.0,35,89,39.3,0,0.4,-0.4,3,21,3,1,17,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-357,1997,11.4,141,198,71.2,1860,196,86,111,77.5,39,50,78.0,4,7,57.1,1,1.7,-0.7,12,4,5,1,6,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-325,1992,16.9,718,954,75.3,12659,4144,301,377,79.8,359,430,83.5,51,115,44.3,0,0.8,-0.8,6,52,14,4,67,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-031,1989,1.0,16,37,43.2,687,484,2,2,100.0,2,2,100.0,12,33,36.4,0,0.0,0.0,0,0,0,0,0,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-364,1998,0.2,14,15,93.3,201,47,9,9,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-183,1981,1.0,24,26,92.3,496,302,8,8,100.0,13,13,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-101,1985,14.0,433,517,83.8,9524,3291,121,145,83.4,241,261,92.3,69,107,64.5,0,0.4,-0.4,3,27,1,0,23,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-069,1991,8.4,551,621,88.7,11165,2009,214,227,94.3,227,247,91.9,100,128,78.1,1,1.4,-0.4,20,61,10,5,32,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-014,1997,23.9,362,505,71.7,5470,864,213,273,78.0,101,150,67.3,33,41,80.5,0,1.0,-1.0,13,23,8,0,28,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-307,1994,21.6,1518,1771,85.7,26888,7752,731,795,91.9,601,686,87.6,165,235,70.2,3,4.4,-1.4,39,126,60,9,147,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-049,2000,2.8,61,88,69.3,956,384,32,41,78.0,21,28,75.0,6,12,50.0,0,0.4,-0.4,2,6,7,1,16,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-083,1989,4.3,86,135,63.7,1314,386,52,72,72.2,25,44,56.8,6,12,50.0,0,0.1,-0.1,2,9,3,0,10,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-235,1997,21.2,778,1048,74.2,14839,5296,337,379,88.9,319,407,78.4,111,234,47.4,2,1.7,+0.3,18,59,17,13,45,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-179,1986,1.0,32,33,97.0,813,519,12,12,100.0,10,10,100.0,10,11,90.9,0,0.0,0.0,0,0,0,0,0,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-115,1995,17.1,761,930,81.8,12331,4564,384,426,90.1,325,386,84.2,45,91,49.5,2,1.2,+0.8,15,44,16,4,61,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-027,1994,5.5,189,239,79.1,2772,1016,112,127,88.2,67,80,83.8,7,18,38.9,0,0.1,-0.1,3,8,1,1,11,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-163,1993,21.1,459,630,72.9,7366,1716,250,301,83.1,152,193,78.8,41,89,46.1,0,2.4,-2.4,31,14,21,7,36,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-044,1987,10.3,180,231,77.9,3057,425,91,109,83.5,59,74,79.7,23,26,88.5,2,1.7,+0.3,9,8,9,1,12,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-235,1996,12.5,765,888,86.1,15321,3722,274,305,89.8,358,392,91.3,125,166,75.3,2,2.2,-0.2,18,98,16,2,85,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-069,1995,2.0,92,121,76.0,1496,386,52,60,86.7,29,35,82.9,10,20,50.0,0,0.5,-0.5,5,5,4,3,3,Matches
91,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-099,1996,19.5,1151,1463,78.7,19771,6851,565,622,90.8,453,554,81.8,105,218,48.2,4,1.5,+2.5,20,79,18,7,110,Matches
92,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-180,1997,3.4,187,231,81.0,3635,616,71,89,79.8,88,101,87.1,25,34,73.5,0,0.0,0.0,0,13,0,0,8,Matches
93,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-354,1996,11.1,768,827,92.9,16335,4393,220,237,92.8,420,438,95.9,123,145,84.8,0,0.3,-0.3,3,25,0,0,36,Matches
94,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-185,1989,17.4,534,644,82.9,10706,3462,188,212,88.7,255,283,90.1,84,133,63.2,0,0.1,-0.1,2,34,2,0,34,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-359,1991,12.7,437,569,76.8,6906,2752,233,258,90.3,163,204,79.9,30,75,40.0,1,0.4,+0.6,4,20,13,6,25,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-033,1993,27.7,1130,1293,87.4,29051,10790,209,221,94.6,581,612,94.9,333,445,74.8,0,0.1,-0.1,2,51,0,0,45,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-170,1988,10.0,400,483,82.8,7074,2683,194,214,90.7,162,185,87.6,41,71,57.7,1,0.8,+0.2,7,18,6,1,24,Matches
98,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-061,2000,8.0,72,92,78.3,1061,159,41,50,82.0,24,28,85.7,4,5,80.0,1,0.2,+0.8,4,2,1,0,3,Matches
99,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-212,1991,20.8,1213,1379,88.0,28230,8225,254,269,94.4,702,737,95.3,254,361,70.4,0,0.0,0.0,0,69,3,0,63,Matches
100,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-278,1989,8.2,211,264,79.9,3512,710,100,116,86.2,78,86,90.7,23,37,62.2,0,0.2,-0.2,3,16,2,0,19,Matches
101,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-077,1994,10.3,217,287,75.6,2980,816,140,159,88.1,62,81,76.5,7,20,35.0,3,0.9,+2.1,9,7,11,4,14,Matches
102,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-220,1992,24.9,825,1169,70.6,14539,7287,380,438,86.8,342,464,73.7,89,207,43.0,3,3.0,0.0,31,65,29,15,91,Matches
103,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-105,1989,29.0,1262,1688,74.8,25585,12451,523,586,89.2,508,605,84.0,214,435,49.2,7,4.3,+2.7,43,120,18,11,104,Matches
104,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-086,1998,0.3,4,5,80.0,67,2,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
105,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-345,1991,28.9,1457,1766,82.5,25159,8212,732,809,90.5,571,678,84.2,139,226,61.5,2,1.6,+0.4,20,109,30,8,144,Matches
106,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-044,1987,12.0,456,533,85.6,9345,4243,150,166,90.4,240,256,93.8,64,104,61.5,0,0.0,0.0,1,20,0,0,26,Matches
107,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-173,1990,25.0,364,726,50.1,15539,11428,25,25,100.0,111,115,96.5,228,586,38.9,0,0.0,0.0,1,8,0,0,0,Matches
108,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-340,1993,15.0,610,783,77.9,10905,4213,266,295,90.2,282,332,84.9,53,127,41.7,1,0.6,+0.4,7,42,9,4,43,Matches
109,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-273,1998,10.8,393,477,82.4,7445,1831,161,179,89.9,177,204,86.8,50,72,69.4,1,1.0,0.0,6,26,7,2,29,Matches
110,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,23-045,1998,1.0,28,36,77.8,388,68,17,19,89.5,10,14,71.4,0,0,,0,0.1,-0.1,2,1,2,0,2,Matches
111,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-077,2000,0.4,16,19,84.2,384,159,3,3,100.0,10,11,90.9,3,5,60.0,0,0.0,0.0,0,0,1,0,1,Matches
112,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-328,1990,14.0,364,453,80.4,8604,2408,72,76,94.7,197,217,90.8,89,152,58.6,0,0.0,0.0,1,25,0,0,18,Matches
113,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-275,1991,20.2,975,1286,75.8,19002,5507,415,493,84.2,382,466,82.0,154,252,61.1,11,8.3,+2.7,69,113,69,9,152,Matches
114,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-050,2003,0.4,5,7,71.4,45,0,4,6,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
115,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-129,1989,2.4,174,197,88.3,3031,830,81,87,93.1,75,80,93.8,16,26,61.5,0,0.0,0.0,1,14,1,0,15,Matches
116,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,25-349,1995,20.9,697,806,86.5,13026,2937,283,317,89.3,298,341,87.4,99,118,83.9,0,0.7,-0.7,16,44,5,2,43,Matches
117,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-153,1991,8.1,97,127,76.4,1453,218,60,68,88.2,29,43,67.4,7,12,58.3,1,0.5,+0.5,7,7,2,1,7,Matches
118,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,22-022,1999,7.2,324,380,85.3,5679,1281,145,162,89.5,145,161,90.1,28,50,56.0,0,0.2,-0.2,5,16,4,1,18,Matches
119,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22-345,1998,12.1,224,304,73.7,3076,767,129,160,80.6,82,101,81.2,5,21,23.8,0,0.1,-0.1,4,14,6,0,23,Matches
120,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-106,1996,21.0,568,849,66.9,10981,4422,254,298,85.2,212,294,72.1,92,200,46.0,5,6.0,-1.0,54,67,36,8,115,Matches
121,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-320,1997,26.6,2138,2279,93.8,46188,12059,542,571,94.9,1211,1250,96.9,372,435,85.5,0,0.1,-0.1,3,146,9,1,102,Matches
122,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,27-074,1994,21.0,1015,1208,84.0,23232,7561,272,302,90.1,514,558,92.1,221,328,67.4,0,0.2,-0.2,3,52,5,0,49,Matches
123,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,27-253,1993,19.8,870,1197,72.7,15825,6238,403,468,86.1,345,447,77.2,103,220,46.8,6,3.6,+2.4,27,48,22,16,79,Matches
124,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29-265,1991,4.1,296,329,90.0,7078,2109,61,65,93.8,176,186,94.6,59,77,76.6,0,0.0,0.0,0,26,0,0,20,Matches
125,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,24-080,1997,9.3,282,326,86.5,5703,1694,93,102,91.2,138,149,92.6,47,68,69.1,0,0.0,0.0,0,14,0,0,8,Matches
126,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22-288,1998,12.3,262,365,71.8,4050,1077,143,175,81.7,98,124,79.0,15,29,51.7,0,0.5,-0.5,6,17,12,1,22,Matches
