,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
445,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,27-193,1993,19.3,675,945,71.4,12716,5321,313,361,86.7,261,341,76.5,95,207,45.9,1,0.8,+0.2,10,59,15,12,51,Matches
446,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,32-051,1989,0.2,10,11,90.9,120,29,8,8,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
447,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,19-099,2001,0.1,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
448,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,21-268,1999,5.0,57,77,74.0,801,137,30,37,81.1,21,26,80.8,2,5,40.0,0,0.0,0.0,0,3,1,1,2,Matches
449,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,28-105,1992,5.7,363,451,80.5,5994,2493,189,200,94.5,129,153,84.3,33,81,40.7,2,0.8,+1.2,10,29,12,2,39,Matches
450,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,25-172,1995,11.8,431,592,72.8,7644,3257,202,239,84.5,176,233,75.5,44,77,57.1,1,1.4,-0.4,14,16,20,15,39,Matches
451,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,19-293,2001,4.5,119,173,68.8,1740,595,75,96,78.1,38,54,70.4,4,17,23.5,0,0.0,0.0,1,8,1,1,7,Matches
452,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,23-327,1997,28.3,1512,1897,79.7,29383,7400,590,659,89.5,674,777,86.7,223,402,55.5,3,2.1,+0.9,26,160,32,2,150,Matches
453,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,23-298,1997,21.9,1026,1344,76.3,18972,5424,426,489,87.1,474,565,83.9,118,247,47.8,2,3.7,-1.7,31,54,30,13,89,Matches
454,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,32-001,1989,4.3,98,126,77.8,2238,776,23,27,85.2,52,55,94.5,22,41,53.7,0,0.0,0.0,0,10,0,0,3,Matches
455,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,23-101,1997,0.5,27,29,93.1,574,161,6,6,100.0,17,18,94.4,4,5,80.0,0,0.0,0.0,0,0,0,0,0,Matches
456,Ferrán Torres\Ferran-Torres,es ESP,FW,Manchester City,21-029,2000,10.3,247,299,82.6,3911,724,132,152,86.8,96,111,86.5,12,24,50.0,2,1.2,+0.8,8,11,11,1,24,Matches
457,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,29-296,1991,0.5,8,10,80.0,151,14,4,4,100.0,3,3,100.0,1,2,50.0,0,0.1,-0.1,1,0,0,0,0,Matches
458,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,29-257,1991,20.1,466,691,67.4,8050,3009,237,284,83.5,148,199,74.4,61,156,39.1,4,2.5,+1.5,28,33,29,14,59,Matches
459,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,28-026,1993,15.8,635,835,76.0,11658,5490,278,308,90.3,285,352,81.0,65,153,42.5,0,1.1,-1.1,13,58,15,9,88,Matches
460,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,25-064,1996,21.8,426,655,65.0,6978,1881,219,289,75.8,156,235,66.4,39,74,52.7,0,3.9,-3.9,42,32,24,16,47,Matches
461,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,25-205,1995,16.9,409,571,71.6,7863,1914,178,218,81.7,150,189,79.4,70,136,51.5,3,1.4,+1.6,16,22,15,6,38,Matches
